trade_date,stock,K,D,J,KDJ_label
20191213,002294.SZ,34.03018043751691,25.623572998549957,50.84339531545081,金叉50+
20191213,002300.SZ,77.35707752275833,70.91461479504221,90.24200297819056,金叉50+
20191213,002313.SZ,68.13054674089405,66.16122545555125,72.06918931157966,金叉50+
20191213,002321.SZ,53.50251503403056,53.36652474753615,53.77449560701939,金叉50+
20191213,002346.SZ,72.09282610021869,71.41432014974056,73.44983800117492,金叉50+
20191213,002347.SZ,53.57173180647806,52.82980357613922,55.055588267155755,金叉50+
20191213,002374.SZ,62.31416486833266,61.05499962527217,64.83249535445366,金叉50+
20191213,002377.SZ,68.83800208620018,65.44027823215798,75.63344979428459,金叉50+
20191213,002386.SZ,69.60320111862457,66.53744825936701,75.7347068371397,金叉50+
20191213,002391.SZ,57.605149810062436,50.21894056680861,72.37756829657008,金叉50+
20191213,002393.SZ,58.46681433899003,52.58945895250722,70.22152511195564,金叉50+
20191213,002394.SZ,69.05402236271411,66.89778171763986,73.3665036528626,金叉50+
20191213,002411.SZ,10.921227682900488,13.064184302198141,6.635314444305184,
20191213,002414.SZ,52.99187372147932,52.4576815176103,54.060258129217374,金叉50+
20191213,002422.SZ,39.97544521952499,26.101224319432635,67.72388701970971,金叉50+
20191213,002423.SZ,65.77232775429526,61.74301880789985,73.8309456470861,金叉50+
20191213,002429.SZ,78.97385910571458,78.47275316028463,79.97607099657449,金叉50+
20191213,002435.SZ,46.17766838515073,44.655767478284815,49.22147019888257,金叉50
20191213,002437.SZ,31.771052744440436,28.634990756542262,38.04317672023678,金叉40
20191213,002452.SZ,77.59673351847965,74.6124954006255,83.56520975418795,金叉50+
20191213,002455.SZ,10.499202999212336,12.10528355562546,7.287041886386088,
20191213,002457.SZ,42.150641443766794,41.87092159600647,42.71008113928744,金叉50
20191213,002459.SZ,36.83300292107864,36.467457609231786,37.564093544772334,金叉40
20191213,002469.SZ,81.7957325219814,76.86010357014703,91.66699042565017,金叉50+
20191213,002475.SZ,73.77161309095179,73.59866837992485,74.11750251300566,金叉50+
20191213,002485.SZ,40.14447416852477,39.63588324492281,41.16165601572871,金叉50
20191213,002486.SZ,22.610581510947355,19.862451685677573,28.10684116148692,金叉30
20191213,002490.SZ,73.59913770670312,69.4038656953182,81.98968172947295,金叉50+
20191213,002492.SZ,80.54021115211495,76.34679811142769,88.92703723348947,金叉50+
20191213,002495.SZ,70.75338345032067,61.54259117288484,89.17496800519234,金叉50+
20191213,002498.SZ,73.98287386124429,69.80324063659435,82.34214031054415,金叉50+
20191213,002499.SZ,81.06647428929513,78.8792151577153,85.44099255245482,金叉50+
20191213,002523.SZ,9.808785314913777,15.121786804531977,-0.817217664322623,
20191213,002526.SZ,38.28482990245946,37.005133640959976,40.844222425458426,金叉50
20191213,002527.SZ,71.11759442041028,67.7949350129349,77.76291323536105,金叉50+
20191213,002531.SZ,51.94446588165408,50.16278839669214,55.50782085157796,金叉50+
20191213,002539.SZ,49.46027477674293,37.002851139402615,74.37512205142356,金叉50+
20191213,002540.SZ,31.367272930133158,29.501090612339336,35.099637565720805,金叉40
20191213,002548.SZ,12.084511714432502,14.551713080399045,7.150108982499415,
20191213,002550.SZ,54.0864221469835,54.059420961322594,54.14042451830532,金叉50+
20191213,002566.SZ,66.18201476844347,65.50384086745335,67.53836257042369,金叉50+
20191213,002569.SZ,25.87177103218634,22.83789364628055,31.939525803997924,金叉40
20191213,002570.SZ,11.992348780414082,14.435859046205861,7.105328248830521,
20191213,002572.SZ,64.34502206829572,60.8153484827999,71.40436923928736,金叉50+
20191213,002595.SZ,70.16537749261327,63.428596097149104,83.6389402835416,金叉50+
20191213,002603.SZ,35.77361246112721,29.12655716427417,49.06772305483327,金叉50
20191213,002610.SZ,40.34237311950112,37.22551338596967,46.576092586564016,金叉50
20191213,002612.SZ,56.27896519196918,55.02372622246029,58.78944313098695,金叉50+
20191213,002621.SZ,29.79640554780072,27.460643508760015,34.467929625882135,金叉40
20191213,002633.SZ,69.08664077981022,68.74182262725355,69.77627708492355,金叉50+
20191213,002634.SZ,6.182980612695794,13.53773171662433,-8.526521595161277,
20191213,002646.SZ,54.29718048956156,51.70275416841318,59.486033131858335,金叉50+
20191213,002658.SZ,73.20827464750005,71.6960120853805,76.23279977173914,金叉50+
20191213,002661.SZ,62.406079891508305,56.12132158755009,74.97559649942473,金叉50+
20191213,002665.SZ,31.882241518301196,25.849237215665287,43.94825012357301,金叉50
