stock,5,10,15,20
000525.SZ,600515.SH,000426.SZ,000426.SZ,000426.SZ
000526.SZ,002197.SZ,002070.SZ,002070.SZ,002070.SZ
000528.SZ,000540.SZ,000540.SZ,000540.SZ,300470.SZ
000529.SZ,600565.SH,600565.SH,601968.SH,601968.SH
000530.SZ,000404.SZ,002487.SZ,002487.SZ,002487.SZ
000531.SZ,000531.SZ,000531.SZ,000531.SZ,000531.SZ
000532.SZ,600257.SH,600257.SH,600257.SH,600257.SH
000533.SZ,000533.SZ,000533.SZ,000533.SZ,000533.SZ
000534.SZ,002252.SZ,002252.SZ,002252.SZ,002252.SZ
000536.SZ,600513.SH,300440.SZ,002606.SZ,002606.SZ
000537.SZ,600559.SH,600559.SH,000886.SZ,000886.SZ
000538.SZ,600196.SH,002677.SZ,002677.SZ,300176.SZ
000539.SZ,601689.SH,002070.SZ,002070.SZ,002070.SZ
000540.SZ,002070.SZ,002070.SZ,002070.SZ,002070.SZ
000541.SZ,600666.SH,600666.SH,600666.SH,002018.SZ
000543.SZ,600680.SH,600680.SH,600680.SH,600680.SH
000544.SZ,002122.SZ,600666.SH,600666.SH,600666.SH
000545.SZ,000415.SZ,000415.SZ,002219.SZ,002219.SZ
000546.SZ,002019.SZ,600490.SH,600490.SH,600490.SH
000547.SZ,002070.SZ,002070.SZ,002331.SZ,600318.SH
000548.SZ,000812.SZ,000812.SZ,000812.SZ,000812.SZ
000550.SZ,000720.SZ,600680.SH,600680.SH,600680.SH
000551.SZ,600653.SH,600653.SH,600653.SH,000812.SZ
000552.SZ,000540.SZ,600595.SH,600221.SH,002219.SZ
000553.SZ,000540.SZ,002098.SZ,000938.SZ,000938.SZ
000554.SZ,600666.SH,600666.SH,600666.SH,000812.SZ
000555.SZ,000564.SZ,000564.SZ,000564.SZ,000564.SZ
000557.SZ,002070.SZ,002070.SZ,002070.SZ,002070.SZ
000558.SZ,000558.SZ,000558.SZ,000558.SZ,000558.SZ
000559.SZ,600503.SH,600503.SH,300071.SZ,300071.SZ
000560.SZ,000560.SZ,000560.SZ,000560.SZ,000560.SZ
000561.SZ,002487.SZ,002473.SZ,002606.SZ,002606.SZ
000563.SZ,000563.SZ,000563.SZ,000563.SZ,000563.SZ
000564.SZ,603001.SH,000038.SZ,000038.SZ,000038.SZ
000565.SZ,600343.SH,600343.SH,000812.SZ,000812.SZ
000566.SZ,600221.SH,000793.SZ,000793.SZ,000793.SZ
000567.SZ,600069.SH,300071.SZ,300071.SZ,300071.SZ
000568.SZ,000858.SZ,002714.SZ,002714.SZ,002714.SZ
000570.SZ,600343.SH,600343.SH,002473.SZ,002473.SZ
000571.SZ,002739.SZ,002739.SZ,002739.SZ,002739.SZ
000572.SZ,002739.SZ,002739.SZ,002739.SZ,002739.SZ
000573.SZ,000428.SZ,000428.SZ,000428.SZ,000428.SZ
000576.SZ,000540.SZ,600682.SH,300225.SZ,002398.SZ
